company,dividend_date,dividend_per_share,share_price_on_dividend_date
360ONE,2019-10-31,2.5,274.7
360ONE,2020-01-29,2.5,267.36
360ONE,2020-08-26,10.0,238.43
360ONE,2021-02-11,7.5,275.17
360ONE,2021-08-10,8.75,355.69
360ONE,2021-11-03,5.0,368.46
360ONE,2022-06-01,5.0,366.94
360ONE,2022-08-01,3.75,389.37
360ONE,2022-10-28,4.25,427.1
360ONE,2023-01-30,4.25,440.73
360ONE,2023-05-12,4.0,394.8
360ONE,2023-07-28,4.0,496.83
360ONE,2023-11-10,4.0,531.91
360ONE,2024-01-29,4.5,625.74
360ONE,2024-05-02,3.5,767.4
360ONE,2024-08-07,2.5,995.09
360ONE,2025-04-29,6.0,983.05
3MINDIA,2022-11-21,850.0,23439.75
3MINDIA,2023-07-26,100.0,27701.96
3MINDIA,2024-07-05,160.0,38572.3
3MINDIA,2025-07-25,160.0,31230.0
AARTIIND,2015-09-15,0.44,96.54
AARTIIND,2015-11-09,0.75,120.94
AARTIIND,2016-02-12,0.5,104.85
AARTIIND,2016-03-22,0.88,110.72
AARTIIND,2017-09-18,0.25,207.51
AARTIIND,2018-09-11,0.25,310.76
AARTIIND,2019-02-12,1.0,352.34
AARTIIND,2019-08-27,1.75,385.63
AARTIIND,2020-02-24,1.25,504.0
AARTIIND,2020-09-10,0.5,512.91
AARTIIND,2020-11-19,0.75,567.24
AARTIIND,2021-09-20,1.5,891.75
AARTIIND,2021-11-10,1.0,948.97
AARTIIND,2022-02-15,1.0,976.48
AARTIIND,2022-09-16,1.5,879.0
AARTIIND,2023-02-15,1.0,535.82
AARTIIND,2023-07-28,1.5,459.98
AARTIIND,2024-07-26,1.0,707.45
ABB,2016-04-13,3.7,1185.89
ABB,2017-04-28,4.0,1240.34
ABB,2018-04-27,4.4,1183.15
ABB,2019-04-26,4.8,1312.63
ABB,2020-07-16,4.8,889.0
ABB,2021-04-19,5.0,1374.21
ABB,2022-04-27,5.2,2058.49
ABB,2023-04-27,5.5,3374.25
ABB,2024-05-03,23.8,6648.89
ABB,2024-08-23,10.66,7748.46
ABB,2025-05-02,33.5,5441.0
ABBOTINDIA,2016-07-08,35.0,4377.61
ABBOTINDIA,2017-07-10,40.0,4062.2
ABBOTINDIA,2018-07-10,50.0,6667.23
ABBOTINDIA,2019-08-13,50.0,8619.71
ABBOTINDIA,2020-08-28,107.0,15999.48
ABBOTINDIA,2021-07-19,120.0,16616.07
ABBOTINDIA,2022-08-02,145.0,19787.47
ABBOTINDIA,2023-07-21,180.0,22539.83
ABBOTINDIA,2024-07-19,410.0,27027.72
ABBOTINDIA,2025-07-25,475.0,33780.0
ABREL,2016-07-18,5.5,630.92
ABREL,2017-07-28,5.5,1130.5
ABREL,2018-07-20,6.5,847.2
ABREL,2019-07-19,7.5,895.38
ABREL,2020-08-14,3.0,307.0
ABREL,2021-07-06,1.0,685.73
ABREL,2022-07-06,4.0,801.3
ABREL,2023-07-17,5.0,951.96
ABREL,2024-07-11,5.0,2185.74
ABREL,2025-07-15,2.0,2234.8
ABSLAMC,2021-11-03,5.6,587.08
ABSLAMC,2022-07-13,5.85,382.83
ABSLAMC,2023-03-24,5.0,320.19
ABSLAMC,2023-08-04,5.25,389.31
ABSLAMC,2024-08-01,13.5,675.15
ABSLAMC,2025-07-23,24.0,878.35
ACC,2016-02-22,6.0,1163.48
ACC,2016-08-02,11.0,1526.82
ACC,2017-03-16,6.0,1305.01
ACC,2017-07-25,11.0,1594.26
ACC,2018-05-17,15.0,1307.43
ACC,2019-03-05,14.0,1443.74
ACC,2020-05-19,14.0,1086.34
ACC,2021-03-30,14.0,1801.82
ACC,2022-04-04,58.0,2094.23
ACC,2023-07-07,9.25,1779.22
ACC,2024-06-14,7.5,2651.0
ACC,2025-06-13,7.5,1846.2
ACE,2015-09-15,0.2,36.38
ACE,2016-03-22,0.2,35.91
ACE,2017-09-20,0.3,66.94
ACE,2018-09-18,0.5,121.76
ACE,2019-09-18,0.5,65.36
ACE,2020-03-20,0.5,42.09
ACE,2021-08-25,0.5,218.79
ACE,2022-09-09,0.6,306.97
ACE,2023-08-17,1.0,791.45
ACE,2024-08-19,2.0,1310.9
ACMESOLAR,2025-05-02,0.2,214.86
ADANIENT,2016-03-22,0.4,36.54
ADANIENT,2017-07-31,0.4,73.95
ADANIENT,2018-07-27,0.4,124.09
ADANIENT,2019-07-29,0.4,128.19
ADANIENT,2020-03-23,1.0,120.6
ADANIENT,2021-07-01,1.0,1487.51
ADANIENT,2022-07-14,1.0,2379.73
ADANIENT,2023-07-07,1.2,2377.43
ADANIENT,2024-06-14,1.3,3260.08
ADANIENT,2025-06-13,1.3,2507.9
ADANIPORTS,2016-03-22,1.1,227.97
ADANIPORTS,2017-07-31,1.3,378.0
ADANIPORTS,2018-07-26,2.0,383.17
ADANIPORTS,2019-07-26,0.2,366.42
ADANIPORTS,2020-03-16,3.2,253.75
ADANIPORTS,2021-06-24,5.0,693.94
ADANIPORTS,2022-07-14,5.0,713.07
ADANIPORTS,2023-07-28,5.0,748.83
ADANIPORTS,2024-06-14,6.0,1423.77
ADANIPORTS,2025-06-13,7.0,1405.0
AEGISLOG,2024-06-26,2.0,818.76
AEGISLOG,2025-06-25,2.0,789.74
AEGISLOG,2025-07-18,6.0,741.15
AFCONS,2025-07-18,2.5,417.15
AIAENG,2015-09-10,8.0,886.42
AIAENG,2016-03-17,8.0,886.21
AIAENG,2017-02-20,4.0,1405.13
AIAENG,2017-08-04,4.0,1377.22
AIAENG,2018-04-04,8.0,1387.12
AIAENG,2019-08-02,9.0,1655.45
AIAENG,2020-03-17,27.0,1519.8
AIAENG,2021-08-26,9.0,1917.42
AIAENG,2022-09-02,9.0,2576.72
AIAENG,2023-09-12,16.0,3670.38
AIAENG,2024-08-20,16.0,4527.95
AIIL,2025-03-27,1.0,1651.17
AIIL,2025-05-16,0.5,2150.2
AJANTPHARM,2016-03-17,5.33,843.36
AJANTPHARM,2016-11-07,4.0,1193.26
AJANTPHARM,2017-03-23,4.67,1150.21
AJANTPHARM,2018-11-09,6.0,679.11
AJANTPHARM,2019-11-15,8.67,620.21
AJANTPHARM,2020-11-12,6.33,983.44
AJANTPHARM,2021-11-09,6.33,1390.23
AJANTPHARM,2022-11-11,7.0,1224.92
AJANTPHARM,2023-08-04,10.0,1711.34
AJANTPHARM,2024-02-08,26.0,2183.03
AJANTPHARM,2024-11-06,28.0,3115.9
ALKEM,2016-03-18,9.7,1275.05
ALKEM,2016-11-23,6.0,1584.14
ALKEM,2017-08-31,9.0,1684.07
ALKEM,2018-02-16,6.0,2030.32
ALKEM,2018-08-23,7.0,1953.08
ALKEM,2019-02-15,8.0,1698.55
ALKEM,2019-08-19,8.0,1665.56
ALKEM,2020-02-13,22.0,2504.31
ALKEM,2020-08-10,3.0,2854.76
ALKEM,2021-02-11,25.0,2795.67
ALKEM,2021-08-09,5.0,3403.54
ALKEM,2022-02-10,30.0,3419.03
ALKEM,2022-08-08,4.0,2918.7
ALKEM,2023-02-17,15.0,3204.62
ALKEM,2023-08-10,10.0,4078.26
ALKEM,2024-02-16,35.0,5397.17
ALKEM,2024-08-09,5.0,5751.4
ALKEM,2025-02-14,37.0,4651.5
ALKYLAMINE,2016-03-16,4.0,116.49
ALKYLAMINE,2017-07-14,2.0,160.23
ALKYLAMINE,2018-07-20,2.8,236.69
ALKYLAMINE,2019-07-26,3.2,296.46
ALKYLAMINE,2020-02-18,4.0,604.15
ALKYLAMINE,2020-08-06,4.0,947.32
ALKYLAMINE,2021-02-12,4.0,2097.64
ALKYLAMINE,2021-07-12,6.0,3675.97
ALKYLAMINE,2022-07-22,10.0,2771.06
ALKYLAMINE,2023-07-04,10.0,2675.34
ALKYLAMINE,2024-06-25,10.0,2110.83
ALKYLAMINE,2025-06-24,10.0,2197.8
AMBER,2019-11-19,1.6,986.02
AMBER,2020-03-26,1.6,1239.4
AMBUJACEM,2016-02-22,1.2,169.52
AMBUJACEM,2016-08-02,1.6,229.56
AMBUJACEM,2017-03-16,1.2,205.87
AMBUJACEM,2017-08-02,1.6,234.6
AMBUJACEM,2018-04-05,2.0,211.22
AMBUJACEM,2019-02-27,1.5,191.22
AMBUJACEM,2020-05-19,1.5,157.42
AMBUJACEM,2020-11-05,17.0,246.44
AMBUJACEM,2021-03-19,1.0,274.1
AMBUJACEM,2022-03-30,6.3,299.29
AMBUJACEM,2023-07-07,2.5,415.12
AMBUJACEM,2024-06-14,2.0,674.73
AMBUJACEM,2025-06-13,2.0,542.5
ANANDRATHI,2022-01-19,2.5,294.84
ANANDRATHI,2022-08-02,3.0,320.41
ANANDRATHI,2022-10-20,2.5,341.67
ANANDRATHI,2023-05-29,3.5,425.23
ANANDRATHI,2023-10-20,2.5,937.83
ANANDRATHI,2024-06-03,4.5,2034.41
ANANDRATHI,2024-10-18,3.5,2134.23
ANANDRATHI,2025-05-09,7.0,1703.8
ANANTRAJ,2015-09-22,0.24,13.53
ANANTRAJ,2016-09-22,0.24,22.95
ANANTRAJ,2017-09-21,0.24,24.17
ANANTRAJ,2018-09-19,0.24,19.57
ANANTRAJ,2019-09-20,0.24,14.39
ANANTRAJ,2020-12-22,0.08,24.22
ANANTRAJ,2021-09-22,0.1,68.2
ANANTRAJ,2022-07-01,0.12,53.2
ANANTRAJ,2023-06-27,0.5,172.84
ANANTRAJ,2024-07-12,0.73,495.8
ANANTRAJ,2025-07-16,0.73,606.1
ANGELONE,2020-11-02,4.15,285.14
ANGELONE,2021-04-29,7.5,331.01
ANGELONE,2021-07-23,5.15,1208.0
ANGELONE,2021-10-27,5.7,1167.07
ANGELONE,2022-01-24,7.0,1255.91
ANGELONE,2022-04-08,7.0,1594.11
ANGELONE,2022-05-23,2.25,1325.97
ANGELONE,2022-07-21,7.65,1310.91
ANGELONE,2022-10-20,9.0,1533.17
ANGELONE,2023-01-24,9.6,1217.94
ANGELONE,2023-03-31,9.6,1121.73
ANGELONE,2023-06-16,4.0,1504.68
ANGELONE,2023-07-21,9.25,1579.75
ANGELONE,2023-10-20,12.7,2293.03
ANGELONE,2024-01-23,12.7,2919.61
ANGELONE,2025-01-21,11.0,2491.0
ANGELONE,2025-03-20,11.0,2243.2
ANGELONE,2025-05-30,26.0,3035.6
APARINDS,2016-03-22,5.5,420.31
APARINDS,2017-08-01,10.0,703.12
APARINDS,2018-08-01,9.5,554.37
APARINDS,2019-07-31,9.5,452.17
APARINDS,2020-03-05,9.5,351.29
APARINDS,2021-08-05,9.5,644.73
APARINDS,2022-08-04,15.0,1176.83
APARINDS,2023-08-04,40.0,3612.18
APARINDS,2024-08-20,51.0,8307.32
APARINDS,2025-07-29,51.0,9681.5
APLAPOLLO,2015-08-13,0.6,40.38
APLAPOLLO,2016-09-08,1.0,90.81
APLAPOLLO,2017-09-21,1.2,173.63
APLAPOLLO,2018-09-19,1.4,151.46
APLAPOLLO,2019-09-19,1.4,126.32
APLAPOLLO,2022-09-02,3.5,1028.46
APLAPOLLO,2023-09-01,5.0,1722.88
APLAPOLLO,2024-09-19,5.5,1424.95
APLLTD,2016-07-20,4.0,532.13
APLLTD,2017-07-11,4.0,489.74
APLLTD,2018-07-18,4.0,474.49
APLLTD,2019-07-18,5.5,486.32
APLLTD,2020-03-16,7.0,504.06
APLLTD,2021-07-19,14.0,911.54
APLLTD,2022-08-17,10.0,634.64
APLLTD,2023-07-28,8.0,760.08
APLLTD,2024-07-15,11.0,971.05
APLLTD,2025-07-29,11.0,1013.2
APOLLOHOSP,2016-03-22,6.0,1351.74
APOLLOHOSP,2017-09-07,6.0,1080.42
APOLLOHOSP,2018-09-12,5.0,1085.32
APOLLOHOSP,2019-09-12,6.0,1438.72
APOLLOHOSP,2020-02-25,3.25,1769.07
APOLLOHOSP,2020-09-17,2.75,1758.74
APOLLOHOSP,2021-08-18,3.0,4741.33
APOLLOHOSP,2022-08-18,11.75,4236.71
APOLLOHOSP,2023-02-24,6.0,4445.27
APOLLOHOSP,2023-08-18,9.0,4829.72
APOLLOHOSP,2024-02-20,6.0,6739.54
APOLLOHOSP,2024-08-16,10.0,6677.46
APOLLOHOSP,2025-02-14,9.0,6270.5
APOLLOTYRE,2016-08-01,2.0,143.51
APOLLOTYRE,2017-06-27,3.0,216.86
APOLLOTYRE,2018-07-18,3.0,245.15
APOLLOTYRE,2019-07-23,3.25,153.82
APOLLOTYRE,2020-03-04,3.0,131.3
APOLLOTYRE,2021-07-15,3.5,220.06
APOLLOTYRE,2022-06-16,3.25,170.73
APOLLOTYRE,2023-07-14,4.0,406.73
APOLLOTYRE,2024-07-05,6.0,518.8
APOLLOTYRE,2025-07-11,5.0,458.6
APTUS,2022-12-08,2.0,289.77
APTUS,2023-05-12,2.0,250.67
APTUS,2024-02-09,2.0,349.63
APTUS,2024-05-15,2.5,312.15
APTUS,2024-11-14,2.0,314.38
APTUS,2025-05-16,2.5,326.8
ARE&M,2023-11-10,4.8,620.08
ARE&M,2024-07-18,5.1,1551.22
ARE&M,2024-11-14,5.3,1248.82
ARE&M,2025-08-01,5.2,953.9
ASAHIINDIA,2016-08-04,0.6,176.57
ASAHIINDIA,2017-08-02,1.0,277.8
ASAHIINDIA,2018-07-30,1.5,324.48
ASAHIINDIA,2019-07-29,1.0,198.54
ASAHIINDIA,2020-03-19,1.0,163.23
ASAHIINDIA,2021-09-21,1.0,353.92
ASAHIINDIA,2022-09-07,2.0,664.18
ASAHIINDIA,2023-09-11,2.0,573.34
ASAHIINDIA,2024-08-28,2.0,640.25
ASHOKLEY,2016-07-13,0.48,34.83
ASHOKLEY,2017-07-11,0.78,40.86
ASHOKLEY,2018-07-09,2.43,52.83
ASHOKLEY,2019-07-23,3.1,32.84
ASHOKLEY,2020-03-19,0.5,21.37
ASHOKLEY,2021-08-31,0.6,55.13
ASHOKLEY,2022-07-14,0.5,64.09
ASHOKLEY,2023-07-07,1.3,75.18
ASHOKLEY,2024-04-03,4.95,84.83
ASHOKLEY,2024-11-19,1.0,108.75
ASHOKLEY,2025-05-22,2.12,119.4
ASIANPAINT,2015-10-28,2.2,766.23
ASIANPAINT,2016-06-16,5.3,936.04
ASIANPAINT,2016-11-01,2.65,1003.76
ASIANPAINT,2017-06-15,5.65,1068.31
ASIANPAINT,2017-10-31,2.65,1108.78
ASIANPAINT,2018-06-14,6.05,1213.31
ASIANPAINT,2018-10-29,2.85,1131.07
ASIANPAINT,2019-06-13,7.65,1359.08
ASIANPAINT,2019-10-30,3.35,1734.84
ASIANPAINT,2020-03-03,7.15,1721.97
ASIANPAINT,2020-07-23,1.5,1653.86
ASIANPAINT,2020-10-28,3.35,2070.29
ASIANPAINT,2021-06-10,14.5,2842.64
ASIANPAINT,2021-10-28,3.65,3005.82
ASIANPAINT,2022-06-09,15.5,2606.48
ASIANPAINT,2022-10-31,4.4,3019.15
ASIANPAINT,2023-06-09,21.25,3110.5
